Year-Month,VFRate,FIRE_Acres_Burned,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,PESTICIDE_Total
2008-10,6.47662853602533,0.0,0.04,0.0,3.483870968,83.3483871,78.0,76.0,0,1392.455039
2008-11,6.110026920778613,0.0,1.46,0.0,2.956666667,70.93,131.5,63.5,0,682.3236594
2008-12,5.499024228700751,0.0,1.7,0.0,3.080645161,73.77741935,97.0,44.0,1,724.6798512
2009-01,3.7343233707207366,0.0,0.88,0.0,2.935483871,70.32903226,142.0,39.0,0,215.00825170000002
2009-02,3.9752474591543328,0.0,1.18,0.0,3.842857143,92.10714286,64.0,19.0,0,209.8869787
2009-03,3.132013149636747,0.0,0.4,0.0,3.958064516,94.9516129,65.0,30.0,0,2126.0603025
2009-04,3.7343233707207366,0.0,0.63,1.0,4.686666667,112.5833333,59.0,37.0,0,1070.0267511
2009-05,4.216171547587929,0.0,0.24,0.0,3.874193548,92.90645161,61.0,39.0,2,741.5751542
2009-06,7.9504949183086655,0.0,0.2,0.0,3.93,94.16333333,56.0,34.0,0,584.7121527
2009-07,9.155115360476644,0.0,0.0,0.0,3.548387097,85.0516129,68.0,40.0,0,552.1496037
2009-08,9.636963537343837,0.0,0.0,0.0,3.438709677,82.66774194,68.0,46.0,0,72.2903994
2009-09,8.311881050959059,0.0,0.16,0.0,3.223333333,77.24,68.0,55.0,0,88.3997657
2009-10,6.986798564574281,0.0,0.0,1.0,3.493548387,84.00967742,68.0,52.0,5,147.949801
2009-11,6.3844883434902915,0.0,0.32,0.0,2.773333333,66.65,93.5,46.0,1,0.0
2009-12,4.9389438128887155,0.0,1.65,0.0,2.777419355,66.82903226,105.0,26.0,0,0.0
2010-01,12.001506723814435,0.0,1.9,0.0,3.222580645,77.28387097,82.0,25.0,0,2538.3921852
2010-02,5.584859564547312,0.0,2.5900000000000003,0.0,3.210714286,76.66428571,63.0,20.0,0,891.4204318999999
2010-03,8.199049147952437,0.0,1.11,0.0,3.551612903,85.34193548,56.0,23.0,0,4069.7613523
2010-04,6.535473958512811,0.0,1.93,0.0,3.976666667,95.41,57.0,22.5,0,4599.833634600001
2010-05,6.060166761530061,0.0,1.34,0.0,4.164516129,100.0806452,53.0,24.0,0,1902.3541926
2010-06,7.961395549461061,0.0,0.0,0.0,3.996666667,96.04,54.5,33.0,0,2499.2397107
2010-07,10.33793153437481,0.0,0.08,0.0,3.390322581,81.3516129,65.0,36.5,1,1653.2134483
2010-08,24.715974243102995,0.0,0.0,0.0,3.348387097,80.2,60.0,42.0,0,1645.367392
2010-09,33.86563778502093,0.0,0.0,0.0,2.756666667,66.2,63.5,54.0,0,1500.9361426
2010-10,52.640272065839554,0.0,0.28,0.0,2.806451613,67.41612903,62.0,33.0,0,1941.6399118000002
2010-11,33.98446458426662,0.0,1.02,0.0,2.643333333,63.38333333,83.5,35.0,0,1111.6917866
2010-12,25.547761837822808,0.0,5.65,0.0,2.538709677,60.90322581,77.0,27.0,0,554.7963091
2011-01,25.65819749985582,0.0,0.5900000000000001,0.0,2.261290323,54.38387097,91.0,36.5,1,1872.775186
2011-02,12.358306135251658,0.0,1.34,0.0,2.925,70.13928571,58.0,32.0,0,859.6468233
2011-03,14.123778440287607,0.0,1.97,0.0,3.606666667,86.40666667,56.0,24.0,0,2868.7738463
2011-04,15.889250745323556,0.0,0.12,0.0,4.017391304,96.48695652,56.5,24.0,0,5830.938692
2011-05,19.655591662733585,0.0,0.6000000000000001,0.0,3.964516129,95.30645161,58.0,28.0,0,2331.4816474
2011-06,19.42019535539546,0.0,0.04,0.0,3.94,94.44,61.5,34.0,0,2402.7269079000002
2011-07,28.600651341582406,0.0,0.32,0.0,3.632258065,87.10645161,59.0,38.0,0,2467.5856964
2011-08,35.78023871539527,0.0,0.0,0.0,3.212903226,77.11612903,62.0,44.0,1,888.6351293
2011-09,39.31118332546717,0.0,0.0,0.0,3.153333333,75.57333333,69.5,55.0,0,55.151471400000005
2011-10,38.251899942445604,0.0,0.91,0.0,2.861290323,68.72258065,75.0,54.0,0,1105.8715124
2011-11,29.77763287827304,0.0,1.04,0.0,3.606666667,86.59,73.5,33.5,0,1557.3642298
2011-12,23.30423442647455,0.0,0.08,0.0,2.848387097,68.4,147.0,58.5,0,413.9167069
2012-01,22.89294395083156,0.0,0.0,0.0,2.885714286,69.04642857,107.0,57.0,0,386.687339
2012-02,27.68177406299531,0.0,0.32,1.0,3.9375,94.7,59.0,27.0,0,416.2912249
2012-03,20.790530730857235,0.0,1.53,0.0,4.058064516,97.50967742,55.0,22.0,0,4293.9057519
2012-04,16.819305759794617,0.0,1.62,0.0,4.033333333,96.74666667,62.0,28.0,0,5040.4734975
2012-05,13.548885195390108,0.0,0.0,0.0,4.358064516,104.4032258,62.0,41.0,0,5938.024399
2012-06,16.58570429090858,0.0,0.0,0.0,4.723333333,113.4,59.5,43.5,0,892.8626269
2012-07,16.468903556465563,0.0,0.0,0.0,4.032258065,96.68709677,61.0,32.0,0,948.4673826999999
2012-08,19.03851971421196,0.0,0.0,0.0,3.706451613,88.91612903,64.0,44.0,0,1746.8936546
2012-09,17.870512369781782,0.0,0.0,0.0,3.396666667,81.66333333,64.0,55.0,0,811.29261346
2012-10,16.819305759794617,0.0,0.0,0.0,3.461290323,83.15483871,67.0,38.5,1,2389.0966687499995
2012-11,17.169707963123674,0.0,0.24,0.0,3.077777778,73.97037037,80.0,38.0,0,1693.1722318000002
2012-12,11.329671240972763,0.0,2.42,0.0,3.093548387,74.17419355,68.0,23.0,0,1049.4620264
2013-01,14.330637863625489,0.0,1.62,0.0,2.916129032,70.40967742,91.0,54.0,0,1845.1921117
2013-02,11.903674999624398,0.0,0.67,0.0,3.410714286,82.00357143,70.5,44.0,0,1184.3336924
2013-03,11.672535679243342,0.0,0.91,0.0,3.732258065,89.32258065,65.0,36.0,1,2225.154093
2013-04,14.908486164578129,0.0,0.16,0.0,4.293333333,103.16,63.5,30.5,0,4528.8448284
2013-05,21.149247814866648,0.0,0.56,0.0,4.729032258,113.4258065,67.0,34.0,1,2133.9923892
2013-06,15.833043446102357,0.0,0.04,0.0,4.273333333,102.5533333,70.5,43.0,0,1369.376174
2013-07,16.526461407245524,0.0,0.0,0.0,3.725806452,89.40645161,65.0,32.5,0,1681.03152529
2013-08,15.717473785911828,0.0,0.0,0.0,3.932258065,94.26451613,77.0,42.5,0,1761.50140013
2013-09,14.792916504387602,0.0,0.16,0.0,3.666666667,87.86333333,66.5,42.0,0,1466.1802307
2013-10,18.260006310103446,0.0,0.16,0.0,3.274193548,78.66129032,59.0,30.0,0,941.0161276
2013-11,20.57139951391401,0.0,0.87,0.0,3.373333333,81.11,79.0,19.0,0,634.5217814
2013-12,15.717473785911828,0.0,0.2,0.0,2.951612903,70.74516129,124.0,19.0,0,814.9327116000001
2014-01,14.201064163614584,0.0,0.08,2.0,3.758064516,90.33548387,139.0,81.0,0,1483.6720372
2014-02,12.139619365670532,0.0,0.32,0.0,3.714285714,88.94285714,66.0,42.5,0,1887.29081667
2014-03,6.756957948816615,0.0,0.86,1.0,4.116666667,99.18333333,56.0,37.0,1,4007.4989896
2014-04,6.756957948816615,0.0,0.76,0.0,4.256666667,102.2766667,57.5,33.0,0,3907.9047433
2014-05,7.902205058785535,0.0,0.04,0.0,4.574193548,109.8741935,56.0,40.0,0,2691.0424406
2014-06,6.527908526822832,0.0,0.32,0.0,4.233333333,101.74,70.0,47.0,0,2654.12500218
2014-07,6.642433237819724,0.0,0.0,0.0,3.848387097,92.22903226,61.0,31.0,1,1509.3667994000002
2014-08,8.818402746760668,0.0,0.0,0.0,3.848387097,92.36129032,58.0,30.0,0,1806.1771937
2014-09,7.673155636791751,0.0,0.0,0.0,3.536666667,85.0,60.0,32.0,0,1933.5085164
2014-10,7.4441062147979675,0.0,0.67,0.0,3.422580645,82.04193548,60.0,21.0,0,2090.7343281000003
2014-11,8.703878035763777,0.0,0.04,0.0,2.966666667,71.02666667,83.0,13.0,0,1155.4569788
2014-12,10.87984754470472,0.0,2.05,0.0,2.838709677,68.03225806,69.0,6.0,0,2370.4407716
2015-01,7.380752586953783,0.0,0.51,0.0,2.458064516,59.03870968,110.0,6.0,0,707.8378917
2015-02,5.45040191036587,0.0,1.14,0.0,2.310714286,55.55,84.5,9.0,1,1231.6780359
2015-03,6.0181521093623145,0.0,0.28,0.0,2.035483871,48.92258065,57.0,18.0,0,2076.246036
2015-04,5.904602069563025,0.0,0.2,0.0,2.893333333,69.34666667,54.5,25.0,0,2344.1631063
2015-05,5.109751790968003,0.0,0.7200000000000001,0.0,4.129032258,99.1483871,47.0,22.0,0,9765.7954695
2015-06,6.699452348158047,0.0,0.2,0.0,4.196666667,100.93,56.0,28.0,0,3406.22463974
2015-07,8.970453144143827,0.0,0.67,0.0,4.306451613,103.3903226,54.0,39.0,0,2707.4958312999997
2015-08,12.376954338122495,0.0,0.79,0.0,3.622580645,87.03225806,61.0,60.0,0,2609.4789221
2015-09,15.329255372904008,0.0,0.12,0.0,3.356666667,80.52,56.0,34.5,0,1355.0165851999998
2015-10,16.918955930094054,0.0,0.6,0.0,3.34516129,80.42258065,57.0,18.0,0,1841.2265706
2015-11,16.23765569129832,0.0,0.9,0.0,3.063333333,73.46333333,78.5,9.5,0,1142.1198789
2015-12,15.783455532101165,0.0,0.61,0.0,2.903225806,69.47419355,78.0,10.0,0,5675.0905851
