feature,window_size,rmse
FIRE_Acres_Burned,1,7.2816167
FIRE_Acres_Burned,2,7.248923
FIRE_Acres_Burned,3,7.542925
FIRE_Acres_Burned,4,7.716182
FIRE_Acres_Burned,5,7.9483557
FIRE_Acres_Burned,6,7.965746
FIRE_Acres_Burned,7,8.051151
FIRE_Acres_Burned,8,8.27579
FIRE_Acres_Burned,9,8.383876
FIRE_Acres_Burned,10,8.521305
FIRE_Acres_Burned,11,8.417005
FIRE_Acres_Burned,12,8.486722
PRECIP,1,7.6489754
PRECIP,2,7.680632
PRECIP,3,8.623876
PRECIP,4,7.877218
PRECIP,5,7.986274
PRECIP,6,8.936995
PRECIP,7,6.2587295
PRECIP,8,5.8195286
PRECIP,9,5.3880887
PRECIP,10,5.2045674
PRECIP,11,4.448803
PRECIP,12,3.530116
WIND_EventCount,1,7.534438
WIND_EventCount,2,7.9722586
WIND_EventCount,3,9.173447
WIND_EventCount,4,10.0847025
WIND_EventCount,5,10.806731
WIND_EventCount,6,10.978525
WIND_EventCount,7,11.970356
WIND_EventCount,8,11.125859
WIND_EventCount,9,11.840663
WIND_EventCount,10,11.625515
WIND_EventCount,11,13.140224
WIND_EventCount,12,15.82648
WIND_AvgMPH,1,9.729574
WIND_AvgMPH,2,9.518325
WIND_AvgMPH,3,13.721359
WIND_AvgMPH,4,16.751266
WIND_AvgMPH,5,12.932268
WIND_AvgMPH,6,14.3475065
WIND_AvgMPH,7,13.943522
WIND_AvgMPH,8,12.5538645
WIND_AvgMPH,9,16.191608
WIND_AvgMPH,10,11.59953
WIND_AvgMPH,11,10.8327465
WIND_AvgMPH,12,12.423879
WIND_RunMiles,1,9.6867895
WIND_RunMiles,2,8.914478
WIND_RunMiles,3,14.048701
WIND_RunMiles,4,14.766632
WIND_RunMiles,5,13.271742
WIND_RunMiles,6,13.820256
WIND_RunMiles,7,14.132961
WIND_RunMiles,8,13.477759
WIND_RunMiles,9,12.12904
WIND_RunMiles,10,12.71004
WIND_RunMiles,11,13.537826
WIND_RunMiles,12,11.226252
AQI_PM25,1,7.5663013
AQI_PM25,2,8.201689
AQI_PM25,3,8.336328
AQI_PM25,4,11.123764
AQI_PM25,5,19.458675
AQI_PM25,6,14.707152
AQI_PM25,7,25.382856
AQI_PM25,8,10.035465
AQI_PM25,9,15.015615
AQI_PM25,10,14.890376
AQI_PM25,11,12.481098
AQI_PM25,12,13.303725
AQI_PM10,1,5.2497
AQI_PM10,2,5.2319126
AQI_PM10,3,5.732625
AQI_PM10,4,9.229446
AQI_PM10,5,11.876064
AQI_PM10,6,15.112057
AQI_PM10,7,12.924748
AQI_PM10,8,11.514458
AQI_PM10,9,25.051598
AQI_PM10,10,33.69358
AQI_PM10,11,30.948946
AQI_PM10,12,25.17996
EARTHQUAKE_Total,1,7.3311515
EARTHQUAKE_Total,2,7.6733346
EARTHQUAKE_Total,3,7.6290793
EARTHQUAKE_Total,4,8.182145
EARTHQUAKE_Total,5,8.864035
EARTHQUAKE_Total,6,8.562877
EARTHQUAKE_Total,7,9.532906
EARTHQUAKE_Total,8,10.88842
EARTHQUAKE_Total,9,10.137504
EARTHQUAKE_Total,10,16.119732
EARTHQUAKE_Total,11,9.310598
EARTHQUAKE_Total,12,11.504983
PESTICIDE_Total,1,6.994631
PESTICIDE_Total,2,9.052211
PESTICIDE_Total,3,11.058454
PESTICIDE_Total,4,15.205764
PESTICIDE_Total,5,17.58253
PESTICIDE_Total,6,12.000842
PESTICIDE_Total,7,13.506866
PESTICIDE_Total,8,18.034685
PESTICIDE_Total,9,38.368473
PESTICIDE_Total,10,30.9717
PESTICIDE_Total,11,15.841668
PESTICIDE_Total,12,16.158115
POUNDS_PRODUCT_APPLIED,1,6.635869
POUNDS_PRODUCT_APPLIED,2,8.49867
POUNDS_PRODUCT_APPLIED,3,8.470578
POUNDS_PRODUCT_APPLIED,4,10.396238
POUNDS_PRODUCT_APPLIED,5,9.024499
POUNDS_PRODUCT_APPLIED,6,10.314704
POUNDS_PRODUCT_APPLIED,7,8.502599
POUNDS_PRODUCT_APPLIED,8,7.0871496
POUNDS_PRODUCT_APPLIED,9,7.962012
POUNDS_PRODUCT_APPLIED,10,15.3936825
POUNDS_PRODUCT_APPLIED,11,14.033856
POUNDS_PRODUCT_APPLIED,12,13.6881
